id,sku,short_description,price,list_price,price_usd,discount,discount_rate,review_count,order_count,inventory_status,is_visible,stock_item_qty,stock_item_max_sale_qty,product_name,brand_id,brand_name
213868800,4371440024194,"– Thương hiệu: ELLY.– Sản xuất: Trung Quốc (theo tiêu chuẩn chất lượng của thương hiệu ELLY).– Kiểu dáng: Giày cao gót.– Độ cao gót: 2,5 cm.– Màu sắc: Đen, trắng.– Size: 35, 36, 37, 38, 39.– Chất liệu...",1259000,1799000,,540000,30,0,,available,,1000,1000,,222659,Elly
243724683,7089079936139,Những đôi giày sục thể thao nữ hàn quốc luôn được coi là vật bất ly thân của mọi cô nàng hiện đại. - Việc lựa chọn đôi sục nữ phù hợp với tính chất công việc cũng là một trong những nguyên tắc quan tr...,150000,150000,,0,0,0,,available,,1000,1000,,111461,OEM
140332882,1571640211540,       Miếng lót giầy quế là dòng sản phẩm có chất lượng vượt trội và cũng là dòng sản phẩm chủ lực của cty Huần Thuận. Miếng lót giày quế cao cấp rất được khách hàng ưa chuộng   Size : 35- 43  ...,13500,13500,,0,0,0,,available,,1000,1000,,111461,OEM
190321230,7193681306443,"Giày Sneaker nữ màu trắng phong cách Hàn Quốc luôn được ưu chuộng nhất mọi thời đạiDa Pu rât mềm và bền, không bị bong và nổ da trong suốt quá trình sử dụngĐế cao su non siêu êmThiết kế đơn giản nh...",399000,399000,,0,0,0,,available,,1000,1000,,111461,OEM
7000147,8786976900217,  Boots nữ cao gót cổ ngắn đẹp nhất mùa thu đông 2018 – 2019 là lựa chọn hoàn hảo cho những cô nàng sành điệu còn luyến tiếc mùa hè nhưng vẫn phải giữ ấm đôi chân khi trời trở lạnh. Boot nữ cao gót cổ...,309000,309000,,0,0,70,,available,,1000,1000,,111461,OEM
129436144,6424006716592,Giày thể thao sneaker nữ hoa cúc đi bộ cực êm siêu xinh 287Size 35 phù hợp chiều dài Giày dép là 22.5 cmSize 36 phù hợp chiều dài Giày dép là 23.0 cmSize 37 phù hợp chiều dài Giày dép là 23.5 cmSize ...,55000,55000,,0,0,21,,available,,1000,1000,,111461,OEM
71048291,3760106259074,"Giầy nhựa mềm, lưới thoáng chân.Kiểu dáng dễ thương dễ phối mọi loại đồMát mẻ và nhanh khô khi bị ướtĐế massage không chơn trượtPhù hợp đi mưa, đi biển chịu nước tốtKiểu dáng trang nhã ...",89000,89000,,0,0,16,,available,,1000,1000,,505165,Song An Eco
119330330,9409495997075,"Giày Nữ Búp Bê Đế Xuồng TiTi ĐÔ Da Bò Thật Cao Cấp GBBN2037aGiày Dép Được Gia Công Tại Xưởng ShopHoàn Trả Tiền 100% Hoặc 1 Đổi 1 Nếu Shop Giao Không Đúng Hàng, Không Đúng Như Mô Tả + THÔNG TIN ...",268000,380000,,112000,29,0,,available,,1000,1000,,111461,OEM
61278528,7349861923060,Giày thể thao nữ hoa cúc đi bộ cực êm siêu xinh V253Size 35 phù hợp chiều dài Giày dép là 22.5 cmSize 36 phù hợp chiều dài Giày dép là 23.0 cmSize 37 phù hợp chiều dài Giày dép là 23.5 cmSize 38 phù h...,55000,55000,,0,0,2,,available,,1000,1000,,111461,OEM
251016111,7684492476557,"        DÉP BÔNG HÌNH HEO XÙ     Dép bông hình thú, hình Heo Kute, trông thật đáng yêu khi mang vào chân.    Kute với 2 màu dành cho cả nam (màu nâu) và nữ (màu hồng). Chất lượng bông êm ái nhẹ ...",45000,45000,,0,0,0,,available,,1000,1000,,111461,OEM
